"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","inReplyToScreenName","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__videoVariants__bitrate","mediaEntities__videoVariants__contentType","mediaEntities__videoVariants__url","mediaEntities__start","mediaEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"Oct 26, 2018 7:09:11 PM","1055959557279752193","Suspect arrested in Florida in connection with suspicious packages sent to Democrats\n\nhttps://t.co/3nB1FC2JTi","-1","-1","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/3nB1FC2JTi","https://www.foxnews.com/us/suspect-arrested-in-florida-in-connection-with-suspicious-packages-sent-to-democrats","foxnews.com/us/suspect-arr…","86","109","","","","","","","","","","","","","","","","","","","","","","","-1","2309595025","Dayra Beltre","Dayra_Beltre","New York , New York","Add me On #Snapchat and let's start a #Streak 🔥 @Dayra_Beltre 👻  🇩🇴🗽✈️📚👩🏽‍🎓🎶🎧🎬🙈🌹🥀✨🕊🌌🌅There are silences that speak and words that say nothing.","","","","","","https://t.co/O8SHu6lExj","http://Facebook.com/DayraBeltre","Facebook.com/DayraBeltre","0","23","False","http://pbs.twimg.com/profile_images/901916317502099456/U3sLncCh_normal.jpg","https://pbs.twimg.com/profile_images/901916317502099456/U3sLncCh_normal.jpg","False","https://t.co/O8SHu6lExj","False","1231","371052","333333","F58EA8","DDEEF6","000000","True","False","False","1377","Jan 25, 2014 2:27:59 AM","1492","-1","http://abs.twimg.com/images/themes/theme10/bg.gif","https://abs.twimg.com/images/themes/theme10/bg.gif","https://pbs.twimg.com/profile_banners/2309595025/1510269882","True","en","59622","True","False","False","12","False","-1"
"Oct 26, 2018 7:00:15 PM","1055957307157348352","Male in his fifties with crazy van. Criminal history and ties to New York.<blockquote class=""twitter-tweet"" data-la… https://t.co/6mVT7WTcWK","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/6mVT7WTcWK","https://twitter.com/i/web/status/1055957307157348352","twitter.com/i/web/status/1…","117","140","","","","","","","","","","","","","","","","","","","","","","","-1","918996545294553089","The News Blues Ntwrk","newzblues","The Divided States Of America","No Bias Reporting! No Hidden Agendas! Just News!","","","","","","https://t.co/MjtQQlkUNM","https://www.facebook.com/newzblues/","facebook.com/newzblues/","0","23","False","http://pbs.twimg.com/profile_images/919000093847707648/LPT7vAfJ_normal.jpg","https://pbs.twimg.com/profile_images/919000093847707648/LPT7vAfJ_normal.jpg","False","https://t.co/MjtQQlkUNM","False","16","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","384","Oct 13, 2017 8:27:05 PM","99","-1","","","https://pbs.twimg.com/profile_banners/918996545294553089/1534653976","False","en","4135","False","False","False","0","False","-1"
"Oct 26, 2018 6:57:11 PM","1055956534092591109","Police in Aventura, FL make remarks after today's arrest in the suspicious packages investigation. (Source: WSVN)… https://t.co/D9qkGLQNMM","-1","-1","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","True","-1","-1","False","False","98","","","","","","","","","","","","49","False","en","","","","","","https://t.co/D9qkGLQNMM","https://twitter.com/i/web/status/1055956534092591109","twitter.com/i/web/status/1…","115","138","","","","","","","","","","","","","","","","","","","","","","","-1","1367531","Fox News","FoxNews","U.S.A.","America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.","","","","","","http://t.co/ZYG58XZtAC","http://www.foxnews.com","foxnews.com","0","22","False","http://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg","https://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg","False","http://t.co/ZYG58XZtAC","False","18223177","0E2331","000000","183A52","F4F4F4","FFFFFF","True","False","False","398","Mar 17, 2007 3:01:26 PM","0","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/1367531/1492649996","False","en","416340","True","True","False","64808","False","-1"
"Oct 26, 2018 6:56:19 PM","1055956317192577025","The #Justice #Department holds a #press #conference after a #suspect was #arrested in connection with the rash of… https://t.co/uQsifAPAYi","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","True","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/uQsifAPAYi","https://twitter.com/i/web/status/1055956317192577025","twitter.com/i/web/status/1…","115","138","Justice","4","12","","","","","","","","","","","","","","","","","","","","-1","167633260","Rebuild-American-Dream","ChuckSmith1st","United States","Most of these post are forwarded from the Facebook page Stop The Destruction Of The American Dream. Please visit us","","","","","","https://t.co/05pr1C5ZW6","http://www.facebook.com/StopTheDestructionOfTheAmericanDream","facebook.com/StopTheDestruc…","0","23","False","http://pbs.twimg.com/profile_images/739353280015388672/bwppOQuF_normal.jpg","https://pbs.twimg.com/profile_images/739353280015388672/bwppOQuF_normal.jpg","False","https://t.co/05pr1C5ZW6","False","748","131516","333333","1B95E0","EFEFEF","000000","True","False","False","1298","Jul 16, 2010 10:49:47 PM","846","-1","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","https://pbs.twimg.com/profile_banners/167633260/1483997688","False","en","40780","True","False","False","8","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department","13","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","press","33","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","conference","40","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","suspect","60","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","arrested","73","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 26, 2018 6:35:47 PM","1055951150296547328","https://t.co/3sFgMzoCCS https://t.co/3sFgMzoCCS","-1","-1","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","und","","","","","","https://t.co/3sFgMzoCCS","https://www.foxnews.com/us/suspect-arrested-in-florida-in-connection-with-suspicious-packages-sent-to-democrats","foxnews.com/us/suspect-arr…","0","23","","","","","","","","","","","","","","","","","","","","","","","-1","2362239944","Tracy","HomeTweetHomeLV","Las Vegas, NV","Science rules","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/999146947939201024/JoEEikv-_normal.jpg","https://pbs.twimg.com/profile_images/999146947939201024/JoEEikv-_normal.jpg","False","","False","21","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","34","Feb 26, 2014 1:20:22 AM","1","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/2362239944/1527050171","False","en","2719","False","False","False","0","False","-1"
